time,value
2006-01-01,15.725306756976734
2006-01-02,15.563109516463728
2006-01-03,15.238872024539383
2006-01-04,14.75259427802258
2006-01-05,14.104276279095869
2006-01-06,13.293918025970381
2006-01-07,17.44997227576217
2006-01-08,11.187080760691458
2006-01-09,10.762705642730117
2006-01-10,11.048394167474047
2006-01-11,12.044146332634732
2006-01-12,13.749962139482358
2006-01-13,16.165841589355626
2006-01-14,19.291784681191082
2006-01-15,23.127791413965454
2006-01-16,25.66803045464548
2006-01-17,26.912501802676644
2006-01-18,26.861205458137693
2006-01-19,25.514141420509585
2006-01-20,22.871309689785615
2006-01-21,18.932710266825683
2006-01-22,13.69834315077087
2006-01-23,9.258606621426235
2006-01-24,5.613500679385808
2006-01-25,2.763025322602463
2006-01-26,0.7071805514916214
2006-01-27,-0.5540336339268386
2006-01-28,3.3886012944393507
2006-01-29,-0.6925702485274101
2006-01-30,-0.6263505605591355
2006-01-31,-0.8219581742904474
2006-02-01,-1.2793930855597218
2006-02-02,-1.8383171116953285
2006-02-03,-2.4987302518490004
2006-02-04,-3.260632507203404
2006-02-05,-4.124023876596208
2006-02-06,-4.8324205186704425
2006-02-07,-5.385822431133178
2006-02-08,-5.784229616269478
2006-02-09,-6.027642073597548
2006-02-10,-6.116059801805509
2006-02-11,-6.049482803205851
2006-02-12,-5.827911076021888
2006-02-13,-5.4177026534614114
2006-02-14,-4.81885753467558
2006-02-15,-4.031375722285365
2006-02-16,-0.6161150473613688
2006-02-17,-1.8905020080260506
2006-02-18,-0.5371101057494982
2006-02-19,1.0049184909409696
2006-02-20,2.4709951565195674
2006-02-21,3.8611198906411666
2006-02-22,5.1752926936588715
2006-02-23,6.413513563053911
2006-02-24,7.5757825029826975
2006-02-25,8.662099510201717
2006-02-26,9.67246458713726
2006-02-27,11.463859019668824
2006-02-28,14.036282809396821
2006-03-01,17.389735955541763
2006-03-02,21.30560517944654
2006-03-03,29.711534785729093
2006-03-04,30.824591858533562
2006-03-05,36.42770931485329
2006-03-06,41.20940550998374
2006-03-07,45.1696804450112
2006-03-08,48.308534120474974
2006-03-09,50.625966534768764
2006-03-10,55.3491503998496
2006-03-11,52.796567585711344
2006-03-12,52.64973622140229
2006-03-13,52.36230748514758
2006-03-14,51.93428137619025
2006-03-15,51.365657894335286
2006-03-16,50.65643703984887
2006-03-17,49.806618811923414
2006-03-18,53.08991384170482
2006-03-19,47.68519023855204
2006-03-20,47.10409980680441
2006-03-21,48.115300364065504
2006-03-22,48.75913923267176
2006-03-23,48.660363770334385
2006-03-24,50.27896351018981
2006-03-25,52.4474857912201
2006-03-26,55.16593061760155
2006-03-27,57.02134020948236
2006-03-28,58.013714568624735
2006-03-29,58.14305369355364
2006-03-30,57.409357584394954
2006-03-31,55.81262624221809
2006-04-01,53.352859667731565
2006-04-02,50.069820734321326
2006-04-03,47.594290527103524
2006-04-04,45.9262690469828
2006-04-05,45.06575629371461
2006-04-06,45.01275226907963
2006-04-07,45.76725697060096
2006-04-08,47.32927039729077
2006-04-09,49.6987925521463
2006-04-10,51.15086735538422
2006-04-11,51.68549480970539
2006-04-12,51.30267491407394
2006-04-13,50.00240766625321
2006-04-14,47.78469306960999
2006-04-15,44.649531121787106
2006-04-16,40.596921823607666
2006-04-17,36.97812074889733
2006-04-18,33.793127897830026
2006-04-19,32.183336719499835
2006-04-20,28.72456686678986
2006-04-21,26.840998686538907
2006-04-22,25.39123872832257
2006-04-23,24.375286992264364
2006-04-24,23.20895364425543
2006-04-25,24.112483472203547
2006-04-26,20.42514210496681
2006-04-27,18.807663914882006
2006-04-28,19.994918654763445
2006-04-29,15.121562691337473
2006-04-30,13.052939658344052
2006-05-01,10.938406336308217
2006-05-02,11.150717270506341
2006-05-03,7.268882829449044
2006-05-04,5.713892641797443
2006-05-05,6.20778179111478
2006-05-06,3.1634554036982934
2006-05-07,2.1680083493799316
2006-05-08,1.3792952191745655
2006-05-09,0.7973160088451934
2006-05-10,0.4220707210296304
2006-05-11,2.5189734455779593
2006-05-12,0.2917819112408466
2006-05-13,3.3441840715229887
2006-05-14,0.9884287889783856
2006-05-15,1.5861637272626368
2006-05-16,2.329943204776697
2006-05-17,4.4831177767380765
2006-05-18,4.255635775032626
2006-05-19,5.437548868431534
2006-05-20,6.765506501238736
2006-05-21,8.239508673936708
2006-05-22,9.89900057435603
2006-05-23,13.201213293462393
2006-05-24,13.774453567696508
2006-05-25,15.99041465851828
2006-05-26,18.391865480371987
2006-05-27,22.773764495800467
2006-05-28,27.666372197879323
2006-05-29,26.73435288969125
2006-05-30,29.928155756796077
2006-05-31,33.332644916677154
2006-06-01,36.947820371574906
2006-06-02,40.43002330328304
2006-06-03,43.77925371582005
2006-06-04,46.99551160782889
2006-06-05,49.99349078644215
2006-06-06,52.7731912566107
2006-06-07,55.3346130142337
2006-06-08,57.67775606028428
2006-06-09,59.80262039842541
2006-06-10,61.70920602394969
2006-06-11,63.3975129401387
2006-06-12,64.97937443042585
2006-06-13,66.45479049193541
2006-06-14,67.82376112780302
2006-06-15,70.72280479894113
2006-06-16,72.14468853410058
2006-06-17,71.29200047776766
2006-06-18,72.23518940784709
2006-06-19,72.95542071305948
2006-06-20,73.4526943957965
2006-06-21,73.72701045299237
2006-06-22,73.77836888417822
2006-06-23,73.60676969282397
2006-06-24,73.21221287456893
2006-06-25,72.59469843257173
2006-06-26,71.93342514137241
2006-06-27,71.22839300052667
2006-06-28,70.47960201052416
2006-06-29,69.68705217191325
2006-06-30,68.85074348152796
2006-07-01,67.97067594302747
