time,value
2006-01-01,-1.065485928643711
2006-01-02,-0.8226660435921682
2006-01-03,-0.9110662345393458
2006-01-04,-1.0157677860873695
2006-01-05,-1.178093752690414
2006-01-06,-1.217174688334268
2006-01-07,-1.6106364465244682
2006-01-08,-2.1259962843137457
2006-01-09,-2.390634403701034
2006-01-10,-2.53978574643534
2006-01-11,-2.561932457958103
2006-01-12,-2.672662271660491
2006-01-13,-2.628436247545562
2006-01-14,-2.524447954717387
2006-01-15,-2.373536334457377
2006-01-16,-2.008791707876117
2006-01-17,-2.159807033044705
2006-01-18,-1.944329978712302
2006-01-19,-2.0552494702449557
2006-01-20,-2.241630887296297
2006-01-21,-2.3050765143248526
2006-01-22,-2.608052786669911
2006-01-23,-2.769882959096809
2006-01-24,-2.1193007214369235
2006-01-25,-2.893172810286316
2006-01-26,-2.888434683806079
2006-01-27,-2.7721016645261267
2006-01-28,-1.877753789789723
2006-01-29,-2.647920985923133
2006-01-30,-2.1717886820538412
2006-01-31,-1.9659508558753682
2006-02-01,-2.1860778127762517
2006-02-02,-1.9410582773966603
2006-02-03,-1.8528787241405813
2006-02-04,-1.6981328828110758
2006-02-05,-1.5670413883231682
2006-02-06,-1.1485122235795178
2006-02-07,-1.2430449838771285
2006-02-08,-1.0924957599482743
2006-02-09,-0.9332116739954943
2006-02-10,-0.7776676511666232
2006-02-11,-0.6352669667261561
2006-02-12,-0.5184471310960739
2006-02-13,-0.465652411057536
2006-02-14,-0.28409481259758823
2006-02-15,-0.4201811783948999
2006-02-16,-0.5557452352707173
2006-02-17,-0.9124413925364891
2006-02-18,-1.2292905957695974
2006-02-19,-1.6461268409336807
2006-02-20,-1.9391048995125697
2006-02-21,-2.0769363714418003
2006-02-22,-1.6621788798056216
2006-02-23,-2.0681983953195493
2006-02-24,-1.5085295062221074
2006-02-25,-0.8403892855214248
2006-02-26,-1.024675211999257
2006-02-27,-0.5960742782040733
2006-02-28,-0.7419026724261343
2006-03-01,-0.570923119768442
2006-03-02,-0.5868897713339142
2006-03-03,-0.4256168038514033
2006-03-04,-0.6768357092436413
2006-03-05,-1.001445238741962
2006-03-06,-1.239171008847591
2006-03-07,-1.367495438987065
2006-03-08,-1.6892320422777378
2006-03-09,-1.934778858685497
2006-03-10,-2.0231786711891635
2006-03-11,-2.351065487441981
2006-03-12,-2.671490493284617
2006-03-13,-2.991566444319147
2006-03-14,-3.0492413104151135
2006-03-15,-3.0361024662059983
2006-03-16,-2.9112466440810922
2006-03-17,-2.6872012340024853
2006-03-18,-1.7967155228400733
2006-03-19,-1.8720418481449022
2006-03-20,-1.6841314973280312
2006-03-21,-1.4133632330715427
2006-03-22,-1.3075282295885307
2006-03-23,-0.9922081626568922
2006-03-24,-1.4372364240263722
2006-03-25,-1.5644194982639135
2006-03-26,-1.997532986476592
2006-03-27,-2.2624364293280346
2006-03-28,-2.4163653333665684
2006-03-29,-2.40766351360717
2006-03-30,-2.5724985218870446
2006-03-31,-2.2932521391506024
2006-04-01,-2.394405491852205
2006-04-02,-1.9133749099291197
2006-04-03,-2.206805479116863
2006-04-04,-2.000377750781717
2006-04-05,-1.8064732934600587
2006-04-06,-1.5026019001532966
2006-04-07,-1.2692104322143678
2006-04-08,-0.779338481247919
2006-04-09,-0.8093617632426785
2006-04-10,-0.4183344045476437
2006-04-11,-0.5430069862572133
2006-04-12,-0.2166514411140717
2006-04-13,-0.07715792429192812
2006-04-14,-0.02896237673711265
2006-04-15,-0.4299801361309784
2006-04-16,-0.9772524978140961
2006-04-17,-1.268333910626274
2006-04-18,-0.9459340764408899
2006-04-19,-1.3114215983984225
2006-04-20,-0.9564933992320143
2006-04-21,-1.2679380826784807
2006-04-22,-1.151439310621731
2006-04-23,-0.9997743178602736
2006-04-24,-0.563968914302127
2006-04-25,-0.6244738797335248
2006-04-26,-0.3580514276652967
2006-04-27,-0.3429906834096588
2006-04-28,-0.6116109721386056
2006-04-29,-0.6591172759608598
2006-04-30,-0.8540874361015494
2006-05-01,-0.8007328084618859
2006-05-02,-0.24346677323515295
2006-05-03,-1.064430543808631
2006-05-04,-0.7347686487285211
2006-05-05,-0.9100545404898887
2006-05-06,-0.6349929768719205
2006-05-07,-0.7133300673380951
2006-05-08,-0.7305788047943936
2006-05-09,-0.6962059507831008
2006-05-10,-0.7528852074683875
2006-05-11,-0.4289847837898214
2006-05-12,-0.5283518479009435
2006-05-13,-0.9455934533036191
2006-05-14,-1.5994213234621903
2006-05-15,-1.6188376813103795
2006-05-16,-1.921284507558201
2006-05-17,-1.9174732088589823
2006-05-18,-1.897280703512843
2006-05-19,-1.6942875318042927
2006-05-20,-1.372101913798501
2006-05-21,-1.241950790699487
2006-05-22,-1.0462129805264166
2006-05-23,-0.8620944430127524
2006-05-24,-0.9056795031086466
2006-05-25,-0.95032585227583255
2006-05-26,-0.7159408800239971
2006-05-27,-0.28684266409384135
2006-05-28,-1.3601107498989593
2006-05-29,-2.235691768481482
2006-05-30,-2.0642727425680154
2006-05-31,-2.41122315529957
2006-06-01,-2.003656036767997
2006-06-02,-1.7364419511913805
2006-06-03,-0.7654591229753338
2006-06-04,-0.8643802628939782
2006-06-05,-1.0635133532597028
2006-06-06,-0.7370715140279842
2006-06-07,-0.527103196534847
2006-06-08,-0.6829043358590463
2006-06-09,-0.7778561498013389
2006-06-10,-0.654468783652253
2006-06-11,-1.3405084263076408
2006-06-12,-1.529940788758359
2006-06-13,-1.5129927624749393
2006-06-14,-1.7302719981012193
2006-06-15,-1.6156245762319559
2006-06-16,-1.4542555561349706
