time,value
2006-01-01,9.31979912964874
2006-01-02,21.6237396783415
2006-01-03,15.3165948298867
2006-01-04,28.3399794728282
2006-01-05,51.7940086535973
2006-01-06,39.305597466573
2006-01-07,51.3002807691246
2006-01-08,65.294138619016
2006-01-09,89.4063570561059
2006-01-10,96.9372811411409
2006-01-11,78.0501959136583
2006-01-12,86.144411219056
2006-01-13,62.1996372285287
2006-01-14,46.9679788224944
2006-01-15,26.8654010361119
2006-01-16,22.6367606562127
2006-01-17,-2.25431222963959
2006-01-18,3.71783225154263
2006-01-19,-16.5934357630283
2006-01-20,-18.2202763821983
2006-01-21,-16.151969569001
2006-01-22,-10.3885153308222
2006-01-23,10.9485557057131
2006-01-24,-2.72957631218976
2006-01-25,-0.834091531511979
2006-01-26,6.79829506672275
2006-01-27,-0.911091456535616
2006-01-28,-2.88357614137627
2006-01-29,-6.1453839847715
2006-01-30,-7.74205848226253
2006-01-31,-7.6735996230285
2006-02-01,12.3281775436514
2006-02-02,-2.54128185319378
2006-02-03,2.52257706708653
2006-02-04,9.25156933251838
2006-02-05,33.1033899135409
2006-02-06,24.9595320450404
2006-02-07,42.4350405745532
2006-02-08,36.3463406386659
2006-02-09,40.419312141836
2006-02-10,43.411995119681
2006-02-11,45.3243895666827
2006-02-12,54.5879654669265
2006-02-13,48.8893340439887
2006-02-14,60.0807152064354
2006-02-15,60.0572090342978
2006-02-16,68.4922454643878
2006-02-17,78.8280145411562
2006-02-18,91.0645162428075
2006-02-19,105.201750581842
2006-02-20,113.387303217286
2006-02-21,115.621174160295
2006-02-22,111.903363399853
2006-02-23,102.233870940931
2006-02-24,86.6126967822238
2006-02-25,65.0398409175685
2006-02-26,37.5153033556275
2006-02-27,21.6204393541173
2006-02-28,-2.3181810330609
2006-03-01,-14.6271278596237
2006-03-02,-21.8642111073193
2006-03-03,-24.0294307779604
2006-03-04,3.70320806821948
2006-03-05,-13.1442793938019
2006-03-06,-6.5146772865766
2006-03-07,-1.2339805700667
2006-03-08,2.697810765279
2006-03-09,5.28069671621873
2006-03-10,6.51467728895288
2006-03-11,6.39975247999455
2006-03-12,4.93592229216251
2006-03-13,3.19492429518065
2006-03-14,1.17675850021022
2006-03-15,-1.11857509832199
2006-03-16,-3.6910765057705
2006-03-17,-6.54074571795812
2006-03-18,2.04279223449724
2006-03-19,3.79135239890307
2006-03-20,-15.5559058721462
2006-03-21,-17.1205376838994
2006-03-22,-6.52352300694885
2006-03-23,-1.09621680837098
2006-03-24,3.84553090414439
2006-03-25,32.6593000683179
2006-03-26,-11.1483990729384
2006-03-27,-7.9841920321167
2006-03-28,-4.68957868261438
2006-03-29,-1.26455903085289
2006-03-30,9.31709190394067
2006-03-31,5.9766991786669
2006-04-01,9.79293773591478
2006-04-02,13.7395826032622
2006-04-03,17.4887878177742
2006-04-04,21.0405533886354
2006-04-05,24.3948793012757
2006-04-06,27.5517655647615
2006-04-07,30.5112121779298
2006-04-08,33.2732191463611
2006-04-09,35.8377864524403
2006-04-10,36.9609177187806
